Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
House/Duplex,909 W 22nd St,"$12,400",12,6,07/01/21,512 Living,House,West Campus,30-60 Days Post Paperwork Completion
800 Leonard St,800 Leonard St,"$8,995",6,5,08/07/21,Respace,House,Noth Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1903 Robbins Place,"$8,750",7,4,08/06/22,Boardwalk at Robbins,601,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,2514 Hartford Rd ,"$7,650",9,6,08/04/21,512 Living,House,Tarrytown,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1903 Robbins Place,"$7,500",6,4,08/06/22,Boardwalk at Robbins,501,West Campus,30-60 Days Post Paperwork Completion
403 E 33rd St,403 E 33rd St,"$7,000",7,4,08/11/22,512 Living,House,North Campus,30-60 Days Post Paperwork Completion
915 Duncan Ln,915 Duncan Ln,"$7,000",7,3.5,08/07/21,Respace,House,North Campus,30-60 Days Post Paperwork Completion
House/Duplex,2311 Longview St ,"$6,600",4,4,07/21/22,512 Living,House,West Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$6,000",5,3,07/25/22,Boardwalk at Robbins,604,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,2514 Hartford Rd ,"$6,000",6,4,08/05/21,512 Living,A,Tarrytown,30-60 Days Post Paperwork Completion
4525 Depew Avenue,4525 Depew Avenue,"$5,200",6,3,08/07/21,Copland/Said,House,Hyde Park,30-60 Days Post Paperwork Completion
304 Zennia Street,304 Zennia Street,"$5,200",6,4,08/07/21,Copland/Said,House,Hyde Park,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$5,000",4,4,07/25/22,Boardwalk at Robbins,505,West Campus,30-60 Days Post Paperwork Completion
5004 Westfield Dr,5004 Westfield Dr,"$5,000",5,3,07/29/21,512 Living,House,North Austin,30-60 Days Post Paperwork Completion
911 Duncan Ln,911 Duncan Ln,"$4,995",5,3,08/07/21,Respace,House,North Campus,30-60 Days Post Paperwork Completion
1914 David Street,1914 David Street,"$4,800",4,2,08/07/21,Copland/Said,A,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,5402 Martin Ave Unit A ,"$4,800",6,3,08/12/21,512 Living,A,North Loop,30-60 Days Post Paperwork Completion
4501 Depew,4501 Depew,"$4,800",6,3,08/07/21,Uptown Realty,House,Hyde Park,30-60 Days Post Paperwork Completion
5208 Martin Avenue,5208 Martin Avenue,"$4,700",6,4,08/07/21,Copland/Said,House,North Loop,30-60 Days Post Paperwork Completion
610 W 35th #B,610 W 35th #B,"$4,625",5,2,08/07/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
308 E 32nd St,308 E 32nd St,"$4,500",5,3,08/01/21,Austin Residence,A,North Campus,30-60 Days Post Paperwork Completion
2811 Salado,2811 Salado,"$4,500",5,2,08/08/21,24th Street Realty,"A, B",West Campus,30-60 Days Post Paperwork Completion
1011 Blanco St,1011 Blanco St,"$4,450",2,2,02/07/21,Respace,House,Old West Austin,30-60 Days Post Paperwork Completion
106 Nelray,106 Nelray,"$4,435",6,4.5,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
5502 Evans #A,5502 Evans #A,"$4,250",6,4,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
300 West 37th Street,300 West 37th Street,"$4,200",5,2,08/07/21,Copland/Said,A,North Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon,"$4,150",5,2,08/07/21,UT Condo (Larry Wu),512,West Campus,30-60 Days Post Paperwork Completion
714 E 45th,714 E 45th,"$4,095",4,3,07/29/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
201 East 35th St,201 East 35th St,"$4,000",4,3,08/07/21,Copland/Said,B,North Campus,30-60 Days Post Paperwork Completion
House/Duplex,4507 Avenue F Unit A ,"$4,000",5,2,07/29/21,512 Living,A,Hyde Park,30-60 Days Post Paperwork Completion
House/Duplex,5100 Caswell Ave Unit A ,"$4,000",5,3,07/29/21,512 Living,A,Hyde Park,30-60 Days Post Paperwork Completion
1505 E 14th St,1505 E 14th St,"$3,995",6,5,08/07/21,Respace,House,East Austin,30-60 Days Post Paperwork Completion
4520 Speedway #A,4520 Speedway #A,"$3,995",6,3,08/07/21,Respace,A,Hyde Park,30-60 Days Post Paperwork Completion
4520 Speedway #B,4520 Speedway #B,"$3,995",6,3,08/07/21,Respace,B,Hyde Park,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$3,940",4,2,08/20/21,University Realty,B,West Campus,30-60 Days Post Paperwork Completion
2809 Rio Grande,2809 Rio Grande,"$3,940",4,2,08/20/21,University Realty,E,West Campus,30-60 Days Post Paperwork Completion
3411 Cedar,3411 Cedar,"$3,900",5,3,08/07/21,Uptown Realty,A,North Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,895",4,2,08/12/21,Respace,603,West Campus,30-60 Days Post Paperwork Completion
5501 Duval #A,5501 Duval #A,"$3,875",5,3.5,08/07/21,Respace,A,North Loop,30-60 Days Post Paperwork Completion
5304 Evans,5304 Evans,"$3,850",5,5.5,08/10/21,24th Street Realty,A,North Loop,30-60 Days Post Paperwork Completion
2606 Salado St,2606 Salado St,"$3,800",4,2,08/07/21,Respace,302,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W. 25th,"$3,800",4,3,August-21,Metro Realty,603,West Campus,30-60 Days Post Paperwork Completion
707 E 47th St,707 E 47th St,"$3,800",5,3,08/07/21,Copland/Said,B,Hyde Park,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,695",4,2,08/12/21,Respace,608,West Campus,30-60 Days Post Paperwork Completion
Duval Condo,3200 Duval ,"$3,650",4,3,08/10/21,Tower Realty,105,North Campus,30-60 Days Post Paperwork Completion
2502 Leon St,2502 Leon St,"$3,600",4,2,08/03/21,Respace,212,West Campus,30-60 Days Post Paperwork Completion
2606 Salado St,2606 Salado St,"$3,600",4,2,08/07/21,Respace,301,West Campus,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon,"$3,600",4,2,08/07/21,UT Condo (Larry Wu),212,West Campus,30-60 Days Post Paperwork Completion
4517 Speedway,4517 Speedway,"$3,595",4,3,08/07/21,Respace,"A, B",Hyde Park,30-60 Days Post Paperwork Completion
106 Franklin,106 Franklin,"$3,500",4,2.5,08/10/21,24th Street Realty,A,North Loop,30-60 Days Post Paperwork Completion
2503 Hartford Rd,2503 Hartford Rd,"$3,500",3,2,08/01/21,512 Living,A,Pemberton,30-60 Days Post Paperwork Completion
2503 Hartford Rd,2503 Hartford Rd,"$3,500",3,2,08/01/21,512 Living,B,Pemberton,30-60 Days Post Paperwork Completion
2917 E 16th #A,2917 E 16th #A,"$3,495",4,2,08/07/21,Respace,A,East Campus,30-60 Days Post Paperwork Completion
3410 Speedway,3410 Speedway,"$3,495",4,2,08/07/21,Respace,A,North Campus,30-60 Days Post Paperwork Completion
4420 Red River,4420 Red River,"$3,495",4,3,08/02/21,Respace,B,North Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$3,475",3,3,07/25/22,Boardwalk at Robbins,602,West Campus,30-60 Days Post Paperwork Completion
Boardwalk at Robbins,1905 Robbins Place,"$3,475",3,2,07/25/22,Boardwalk at Robbins,603,West Campus,30-60 Days Post Paperwork Completion
House/Duplex,1020 Ellingson Ln Unit A,"$3,400",4,2,07/22/21,512 Living,A,Hyde Park,30-60 Days Post Paperwork Completion
919 Keith,919 Keith,"$3,400",4,2,08/18/21,University Realty,House,North Campus,30-60 Days Post Paperwork Completion
5405 Avenue H,5405 Avenue H,"$3,400",4,2.5,August-21,Metro Realty,A,North Austin,30-60 Days Post Paperwork Completion
720 Harris Avenue,720 Harris Avenue,"$3,400",3,2,08/01/21,Copland/Said,A,North Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$3,395",4,2,08/12/21,Respace,605,West Campus,30-60 Days Post Paperwork Completion
2304 Leon C,2304 Leon,"$3,300",4,2,August-21,Metro Realty,C,West Campus,30-60 Days Post Paperwork Completion
Sandstone ,2410 Leon,"$3,300",4,3,August-21,Metro Realty,103,West Campus,30-60 Days Post Paperwork Completion
Treehouse ,2612 San Pedro,"$3,300",4,2,August-21,Metro Realty,206,West Campus,30-60 Days Post Paperwork Completion
Galileo ,910 W 25th,"$3,300",3,3,08/10/21,Tower Realty,503,West Campus,30-60 Days Post Paperwork Completion
Galileo ,910 W 25th,"$3,300",3,3,08/10/21,Tower Realty,403,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 113 ,"$3,280",4,4,08/07/21,512 Living,113,West Campus,30-60 Days Post Paperwork Completion
2304 Leon B,2304 Leon ,"$3,250",4,2,August-21,Metro Realty,B,West Campus,30-60 Days Post Paperwork Completion
2304 Leon D,2304 Leon ,"$3,250",4,2,August-21,Metro Realty,D,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 206 ,"$3,240",4,4,08/06/21,512 Living,206,West Campus,30-60 Days Post Paperwork Completion
2823 San Pedro,2823 San Pedro,"$3,200",4,2,08/10/21,Tower Realty,House,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 217 ,"$3,200",4,4,08/06/21,512 Living,217,West Campus,30-60 Days Post Paperwork Completion
2304 Leon A,2304 Leon ,"$3,200",4,2,August-21,Metro Realty,A,West Campus,30-60 Days Post Paperwork Completion
4124 Berkman,4124 Berkman Dr,"$3,200",3,2,07/07/21,Austin Manage,House,East Austin,30-60 Days Post Paperwork Completion
501 W 55 1/2 ,501 W 55 1/2 ,"$3,195",5,2,08/07/21,Respace,House,North Loop,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 306 ,"$3,160",4,4,08/06/21,512 Living,306,West Campus,30-60 Days Post Paperwork Completion
